"start","end","text"
"5960","15020"," (Transcribed by TurboScribe.ai. Go Unlimited to remove this message.) All right, welcome back to 006 Data Structures."
"15960","19260"," Today we're going to cover a different kind"
"19260","21760"," of tree-like data structure called a heap,"
"22100","22720"," binary heap."
"22840","24980"," It's going to let us solve sorting problem"
"24980","25840"," in a new way. "
"26620","30340"," Let me first remind you of a portion."
"30660","31920"," The problem we're going to be solving today"
"31920","33120"," is called a priority queue."
"33540","34560"," This is the interface. "
"34560","36760"," We'll see several data structures, but one main"
"36760","37840"," data structure for today."
"39620","43960"," And this is a subset of the set"
"43960","44500"," interface."
"47320","49540"," And subsets are interesting because potentially we can"
"49540","51960"," solve them better, faster, simpler, something. "
"53860","58040"," And so you'll recognize, you should recognize all"
"58040","60980"," of these operations, except we didn't normally highlight"
"60980","62320"," the max operation."
"62760","64760"," So here we're interested in storing a bunch"
"64760","65300"," of items."
"65300","68920"," They have keys, which we think of as"
"68920","69440"," priorities. "
"70140","71940"," And we want to be able to identify"
"71940","76040"," the maximum priority item in our set and"
"76040","76580"," remove it."
"77460","79060"," And so there's lots of motivations for this."
"79140","80820"," Maybe you have a router, packets going into"
"80820","82740"," the router, they have different priorities assigned to"
"82740","84160"," them, you want to route the highest priority"
"84160","84620"," first. "
"85040","88060"," Or you have processes on your computer trying"
"88060","92280"," to run on your single-threaded, single core,"
"92560","93820"," and you've got to choose which one to"
"93820","96280"," run next, and you usually run higher priority"
"96280","97220"," processes first."
"97700","101980"," Or you're trying to simulate a system where"
"101980","104040"," events happen at different times, and you want"
"104040","106820"," to process the next event ordered by time."
"106920","109400"," All of these are examples of the priority"
"109400","110220"," queue interface. "
"110220","112460"," We'll even see applications within this class when"
"112460","113380"," we get to graph algorithms."
"113980","116000"," But the main two things we want to"
"116000","117620"," be able to support are inserting an item,"
"117680","120300"," which includes a key, and deleting the maximum"
"120300","122300"," item, and also returning it at the same"
"122300","122600"," time."
"123380","126460"," We'll also talk some about being able to"
"126460","129000"," build the structure faster than just inserting it. "
"129039","131100"," But of course we could implement build by"
"131100","133340"," starting empty and repeatedly inserting."
"134100","137220"," And also the complexity of just finding the"
"137220","138300"," max without deleting it."
"138660","140760"," This you could simulate with these two operations"
"140760","142800"," by deleting the max and then reinserting it. "
"144040","145240"," Which works."
"145700","147260"," But often we can do faster."
"148000","151160"," But the two key main operations are insert"
"151160","152300"," and delete max. "
"152480","154980"," And we're going to see a few data"
"154980","156120"," structures to do this."
"157100","159980"," Any suggestions among the data structures we've seen"
"159980","160560"," in this class?"
"160680","164560"," What should we use to solve priority queue"
"164560","165000"," interface?"
"170360","174760"," Many possible answers."
"179030","179770"," Sequence AVL. "
"179850","180590"," Oh, that's interesting."
"181370","183010"," Sequence AVL is a good answer."
"183450","185890"," But it's maybe the fancier version. "
"186950","187230"," Yeah."
"188550","189610"," Set AVL."
"189990","190290"," Sounds good. "
"190850","193630"," Set AVL supports these operations and many more."
"193970","196010"," All in log n time, except for build,"
"196090","198110"," which takes n log n time."
"198170","199330"," Because you have to sort first. "
"200870","202870"," So set AVL is a good way to"
"202870","203130"," do this."
"203250","205810"," We'll come back to your sequence AVL idea"
"205810","206130"," later."
"207530","210710"," This gets log n for operation. "
"211770","211930"," Great."
"212150","214670"," I mean, set AVL is our most powerful"
"214670","215170"," data structure."
"215290","216730"," It does all the operations we care about. "
"217550","218490"," On the set side."
"218590","220090"," And the sequence AVL does all the operations"
"220090","220770"," on the sequence side."
"220830","222190"," But note that this is a set, not"
"222190","222710"," a sequence. "
"222950","223970"," We care about keys."
"224490","225790"," There are hacks to get around that with"
"225790","226570"," sequence AVLs."
"226630","227890"," But let's do that later. "
"230110","230650"," So great."
"230650","233230"," If we wanted to, for example, speed up"
"233230","236310"," find max in a set AVL, we could"
"236310","237730"," add augmentation."
"238530","244490"," We could remember subtree property augmentations. "
"245170","247830"," We can use that to get constant time"
"247830","252610"," find max by storing in every node the"
"252610","255029"," maximum key item within the subtree."
"255450","256630"," And that's a subtree property."
"256690","258529"," It's one we mentioned last class. "
"258529","260750"," So we could even improve that to constant"
"260750","261010"," time."
"261330","261490"," Great."
"262430","263390"," So we're done. "
"263510","264030"," End of lecture."
"264690","266450"," In some sense, that's true."
"266810","268850"," But what we're going to see today is"
"268850","270850"," another data structure called a binary heap, which"
"270850","273950"," is, in some sense, a simplification of set"
"273950","274430"," AVL. "
"274750","277350"," It achieves basically the same time bounds."
"277530","280270"," Build will be faster by a log factor."
"281190","283710"," But that's not the main reason we care"
"283710","284110"," about them. "
"284510","286250"," The main advantage is that they're simpler."
"286890","290050"," And they give us an in-place sorting"
"290050","290450"," algorithm."
"293990","297510"," So I have up here the three of"
"297510","299490"," the operations I've been talking about, build, insert,"
"299630","300390"," and delete max. "
"300870","303390"," So we have set AVL, trees there, n"
"303390","305770"," log n build, log n insert, log n"
"305770","306090"," delete."
"306970","310110"," So along the way to our heap, I"
"310110","312650"," want to mention two other data structures."
"313370","317350"," One is a dynamic but unsorted array. "
"317890","320170"," And the other is a dynamic sorted array."
"325520","328080"," These are simpler data structures we've talked about"
"328080","329000"," many times before."
"329180","332200"," And they're useful motivations for getting started. "
"332260","334660"," Because a heap is going to be built"
"334660","339080"," on top of arrays instead of a fusion"
"339080","340520"," between arrays and trees."
"343480","346560"," So if I have an unsorted array, this"
"346560","348280"," is very easy to insert into."
"348840","351380"," I just append to the end. "
"351380","353100"," This is what we called insert last."
"353580","357900"," So insert is fast, constant amortized."
"358700","360000"," We might have to resize the array. "
"360400","361760"," So that's the amortized part."
"362320","364420"," But delete max is slow in an unsorted"
"364420","364720"," array."
"364800","365860"," I don't know where the maximum is. "
"365900","367340"," So I have to scan through the whole"
"367340","367640"," array."
"370870","373310"," So I scan through the array, identify the"
"373310","374390"," max is somewhere in the middle."
"375250","376910"," And then if I want to delete it,"
"382670","384410"," I want to delete that maximum element. "
"384510","385930"," Well, in a dynamic array, all I can"
"385930","388370"," really do is delete the last element efficiently."
"388710","391030"," So I could, for example, swap it with"
"391030","393130"," the last element."
"393450","395070"," So I take this element and put it"
"395070","398150"," here, and then delete the last element in"
"398150","401050"," that array, which is pop in Python, or"
"401050","402810"," delete last in our world. "
"403550","408130"," So overall, this is linear time, which is"
"408130","408470"," bad."
"409990","411890"," But I wanted to highlight exactly how it's"
"411890","413470"," done for a reason we'll get to in"
"413470","413750"," a moment."
"414330","415950"," Sorted array is sort of the reverse. "
"416230","417690"," It's very easy to find the max."
"418110","418810"," Where is it?"
"421090","421710"," At the end."
"422610","423150"," Delete max. "
"423730","426030"," The maximum element is always the last element"
"426030","428170"," in a increasing sorted array."
"431180","433980"," I guess that's constant amortized, because then I"
"433980","436080"," have to delete it, which may incur resizing."
"438420","442920"," Insert, though, is going to be linear, because"
"442920","444900"," maybe I can binary search to find where"
"444900","447200"," the added item belongs. "
"448060","453440"," Let's say I just added this item here."
"455080","456880"," I could binary search to find it, but"
"456880","457960"," then I'm going to have to do a"
"457960","458480"," big shift."
"458600","460880"," So I might as well just swap repeatedly"
"461600","464700"," until I find the position where the added"
"464700","467200"," item x belongs. "
"467500","469020"," And now I've restored sorted order."
"469180","471780"," That takes linear time, which is bad."
"472180","474000"," And what we want is somehow the best"
"474000","475080"," of these two worlds. "
"475900","477620"," Insert is fast for array."
"479240","481020"," Delete is fast for a sorted array."
"481540","483540"," We can't get constant time for both, but"
"483540","484880"," we can get log n time for both. "
"484940","487700"," We already know how with set AVL trees."
"487860","488800"," But we're going to see a different way"
"488800","489440"," to do it today."
"490680","494400"," And the main motivation for a different way"
"494400","497420"," to do this is sorting. "
"498280","501340"," So I want to define priority queue sort."
"509280","512580"," So given any data structure that implements a"
"512580","515380"," priority queue interface, in particular, insert and delete"
"515380","517720"," max, I can make a sorting algorithm."
"518080","518799"," What do I do?"
"519220","521720"," Insert all the items, delete all the items. "
"522240","524280"," But because when I delete them, they come"
"524280","526900"," out largest first, I get them in reverse"
"526900","527440"," sorted order."
"527600","529720"," Then I could reverse in linear time, and"
"529720","531000"," I've sorted my items."
"531600","538440"," So we can insert x for x and"
"538440","547500"," a, or build a, and then repeatedly"
"547500","549600"," delete max. "
"556920","558720"," How much time does this algorithm take?"
"559400","561160"," I'm going to introduce some notation here."
"561300","563420"," It takes however long it takes to build"
"563420","564040"," n items."
"564880","568500"," I'll call that t sub build of n"
"568500","580780"," plus n times the"
