"start","end","text"
"8240","12460"," לאחר שתיארנו את הפעולות האבסטרקטיות על הרמה, נתאר"
"12460","15860"," עכשיו את המבנה בצורה מדויקת ונראה איך אפשר"
"15860","16620"," לממש אותו."
"18400","23640"," אז אנחנו עוסקים כאמור בביינרי מין היפ, והביינרי"
"23640","28820"," מין היפ הוא עץ בינארי כמעט מושלם, ואז"
"28820","31100"," ככה הם כמעט מושלם אומר שכל השכבות האלו"
"31100","35540"," מלאות, והשכבה התחתונה היא היחידה שאולי לא מלאה,"
"36320","41520"," כשצד שמאל מלא ברציפות ואם יש חור הוא"
"41520","42780"," בצד ימין ברציפות."
"43900","48420"," דבר שני בביינרי מין היפ זה התכונה הערכית"
"48420","54400"," שבה אנחנו אומרים שכל צומת קטן מילדיו, 7"
"54400","55960"," קטן מ-23 ו-17. "
"57460","63900"," בדומה לדבר הזה קוראים היפ אורדד טרי, ובדומה"
"63900","68020"," לביינרי מין היפ אפשר גם להגדיר בצורה דומה"
"68020","71960"," ביינרי מקס היפ, וביינרי מקס היפ הוא דומה"
"71960","76980"," לביינרי מין היפ, אלא ששם אנחנו נקפיד שכל"
"76980","79980"," צומת תהיה גדול מילדיו."
"81480","86640"," בהמשך הדיון עכשיו בכל הפרק אני אשתמש בקיצור"
"86640","90240"," במילה היפ כדי לתאר את הביינרי מין היפ."
"95260","101220"," אז תכונה ראשונה שכבר ראינו לגבי ההיפ, העץ"
"101220","106260"," הוא בינארי וכמעט מושלם ולכן הגובה שלו הוא"
"106260","107920"," אור שלוגי. "
"107920","109360"," זה התכונה הראשונה."
"110580","113440"," בואו נדבר על המימוש, אז כמובן אפשר לממש"
"113440","119000"," היפ בינארי כמו כל עץ חיפוש בינארי, שממש"
"119000","123500"," נורא דיום, בעזרת פוינטרים, אבל המעניין בהיפ בינארי,"
"124400","128620"," שכל עוד מתעסקים רק בפריוריטיק יוק, כלומר בדיליט"
"128620","132920"," מין ואינסרט, אז אפשר לממש מימוש מאוד פשוט"
"132920","135880"," באמצעות מערך, וזה נראה עכשיו."
"137300","139880"," היתרונות של המערך יהיה שהוא יהיה מאוד יעיל"
"139880","140920"," ותכף נראה למה. "
"141740","148080"," הדרך לשים אותו במערך, הדרך לשקן עץ בינארי"
"148080","152360"," או היפ במערך, היא לקחת את הערכים ולשים"
"152360","156400"," אותם שכבה שכבה בתוך המערך, שלוקחים את השכבות"
"156400","159460"," מלמעלה למטה ומשמאל לימין."
"159460","162680"," אז קודם שמים את השבע פה, 23 ו "
"162680","166180","-17 שמים פה, 24 ו-19 שמים פה"
"166180","167460"," וכן הלאה."
"168200","173560"," אז זה הדרך לשקן את הערכים במערך, והיתרון"
"173560","176240"," הראשון של זה, זה קודם כל שאם רוצים"
"176240","179760"," למצוא את השורש, השורש תמיד נמצא כעבר הראשון. "
"180980","185000"," זה השורש וזה המינימום של כל המבנה, אז"
"185000","186280"," יש גישה מאוד נוחה למינימום."
"186280","190940"," דבר שני, אם רוצים להגיע לפינה הימנית התחתונה,"
"191200","193820"," שכבר ראינו שהיא נקודה חשובה, אז הפינה הימנית"
"193820","199240"," התחתונה, 79, היא תמיד העבר האחרון במערך וגם"
"199240","199700"," זה נוח."
"201980","203040"," מה עוד נוח?"
"203300","206000"," מאוד נוח במערך לעשות ניווטים. "
"206340","210640"," הניווטים העיקריים שלנו בעצם הם כלפי מטה וכלפי"
"210640","215220"," מלא, ותכף נראה שמאוד קל לנווט במערך כלפי"
"215220","216240"," מטה וגם כלפי מלא."
"216240","224060"," אז לדוגמא, אם אני אמצא בשורש 977 ואלו"
"224060","228240"," עם ילדיו 23 ו-17, אז הניווט לילדיו"
"228240","229640"," הוא על ידי שתי פונקציות."
"230400","234840"," הילד השמאלי שלו היא על ידי הכפלת האינדקס"
"234840","237160"," ב-2, 2 כפולי, אז אם האינדקס של"
"237160","240920"," השורש הוא 1, האינדקס של בנוי השמאלי הוא"
"240920","241220"," 2."
"242280","245800"," והאינדקס של בנוי הימני הוא 3, כלומר הבן"
"245800","248380"," הימני הוא 2i ועוד 1."
"249660","254620"," באותו הצורה האינדקסים של הילד, של הילדים של"
"254620","257320"," 23 הם 4 ו-5. "
"258579","263100"," והאינדקסים של הצומת הזה, הילדים של הצומת הזה"
"263100","264500"," הם 6 ו-7."
"265900","269500"," והילדים של 4 יהיו 8 ו-9, ושל"
"269500","271220"," 5, 10 ו-11."
"271220","275120"," אז מציאת ילדים היא מאוד פשוטה, שמאלה זה"
"275120","277120"," 2i, ימינה זה 2i ועוד 1."
"278220","281540"," ואם רוצים למצוא אבא, ללכת כפי מעלה, אז"
"281540","284300"," אבא אפשר לקבל אותו בפשטות, על ידי i"
"284300","287560"," חלקי 2 מעוגל כפי מטה, לדוגמה האבא של"
"287560","290980"," 6 הוא 3, האבא של 7 הוא גם"
"290980","291940"," כן 3."
"292920","294320"," מה היתרון של כל הדבר הזה?"
"295400","300580"," גם שזה מצומצם במקום שזה דורש, אין לנו"
"300580","301860"," פוינטרים, זה הרבה יותר זול. "
"302460","306040"," ובעת, פעולות עניבות הם לא באמצעות פוינטרים, שזה"
"306040","309000"," פעולות יקרות, אלא פעולות באמצעות הכפלה ב-2"
"309000","311200"," וחלוקה ב-2, שהן מאוד מאוד זולות במחשב."
"312080","317140"," אז קיבלנו מבנה מאוד מצומצם, ומאוד חסכוני, וגם"
"317140","318470"," מהיר לביצוע."
"321460","326260"," איך אני אייצג את הדאטה במבנה הזה?"
"327000","332280"," אז כמובן יש לנו ייצוג של איך מגיעים"
"332280","335920"," אל המבנה, ובתוך מבנה עצמו, דרך מאוד נוחה,"
"336000","338900"," היא לשים את המבטחות כאן, ואת האינפורמציה היא"
"338900","339560"," לשים כאן. "
"340200","342980"," כל האינפורמציה היא מצומצמת, והיא מוגבלת לשמות, או"
"342980","343620"," דברים פשוטים."
"344040","347140"," בייצוג השני, שבו משתמשים עם האינפו יותר גדול"
"347140","352740"," ממשהו קטן, אז אפשר לייצג את האינפו במקום"
"352740","355420"," נפרד, ובפוינטר להגיע אליו."
"356840","361660"," ייצוג כזה גם חשוב לעיתים, כשרוצים שהאינפו יהיה"
"361660","366540"," נפרד מהמבנה שמייצג את תור הדפויות. "
"368520","375020"," כשעושים את הדבר הזה, אז זאת השיטה שבה"
"375020","379320"," עושים אותה, כלומר יש פוינטר אל האינפו, פוינטר"
"379320","385220"," מהמערך אל האינפו, ויש גם פוינטר חוזר, או"
"385220","389320"," בעצם במציאות אינדקס, כותבים פה שהמקום במערך הוא"
"389320","389740"," חמש."
"391600","395880"," זה ייצוג השני, ובייצוג הזה נוצרת בעיה, אם"
"395880","401320"," רוצים לעשות דקריז-קי, ואם רוצים לשמור חוסר"
"401320","407740"," תלות בין המבנה שמייצג את האינפו, לבין המבנה"
"407740","409380"," שמייצג את התור."
"409560","411760"," אז אם רוצים חוסר תלות כזאת, צריך לעשות"
"411760","415120"," מגנון נוסף, כי אחרת יכולה לבצר בעיה קטנה. "
"415780","417540"," בואו נראה איזה בעיה יכולה לבצר, תחשבו שאני"
"417540","421700"," עושה דקריז-קי, ובדקריז-קי מה שיקרה זה"
"421700","426180"," שהעבר יעבור לכאן, אני שיניתי את המפתח מ "
"426180","430980","-29 ל-12, העבר במערך עבר לכאן, והייתי"
"430980","435380"," לכן צריך לשנות את המיקום שלו בתוך האינפו"
"435380","436460"," להיות ל-2."
"437600","443860"," אז זה גרר בעצם עבודה בקוביית המידע של"
