"start","end","text"
"4870","9490"," Our topic, our next topic, is the definite"
"9490","18340"," integral and I'm going to ask you to"
"18340","22780"," do the impossible and forget everything you know"
"22780","24360"," about snakes so far."
"24740","26160"," You've never seen a snake before."
"26900","29780"," And the reason is that what we're going"
"29780","32500"," to do now is going to seem at"
"32500","39240"," first completely but completely unrelated to indefinite integrals. "
"39800","41400"," And the only thing that's going to be"
"41400","45420"," similar is those snakes, the notation."
"46060","48680"," And the reason for the notation is only"
"48680","52860"," going to be revealed later this week."
"53760","56740"," Okay, so please forget everything you know about"
"56740","59180"," snakes, we're starting something completely different. "
"60100","61000"," And here we go."
"61900","67180"," Our motivation, the question we're interested in now"
"67180","68300"," is the following."
"68960","72880"," Suppose you have a function, here it is,"
"73180","74000"," some function. "
"75040","77560"," Let's be original and call it f."
"79690","82010"," And we're looking at the function on a"
"82010","87590"," specific interval, namely the interval between a and"
"87590","88110"," b."
"94900","96880"," And what we want to know is the"
"96880","97260"," following."
"97920","101200"," What is the area under the graph of"
"101200","101700"," the function?"
"102820","103640"," That's the question."
"103900","105720"," What is the area under the graph of"
"105720","106120"," the function?"
"106620","112040"," For simplicity, I'm going to assume the following. "
"112040","114720"," I'm going to assume the function is positive."
"115260","117100"," We're going to drop that assumption later."
"117540","119700"," I'm going to assume the function is continuous. "
"120700","122580"," We're going to drop that assumption later."
"123080","126800"," The only crucial assumptions are that the function"
"126800","127500"," is bounded."
"127940","130980"," It can't go to infinity anywhere, in which"
"130980","134900"," case clearly the area requires some further definition. "
"135140","138060"," Something is not clear when the function is"
"138060","138580"," not bounded."
"138580","140520"," So it's going to be a bounded function"
"140520","143760"," on a finite interval."
"145420","147360"," Those are the two crucial assumptions. "
"147880","149580"," The other assumptions are just for the sake"
"149580","150800"," of simplicity for now."
"152640","155660"," Do I know to calculate areas in general?"
"157040","157340"," Yes."
"157540","159360"," What areas do I know how to calculate?"
"160400","161860"," I know squares. "
"162120","163340"," I know rectangles."
"163580","166120"," If I try real hard, maybe I can"
"166120","166980"," remember circles."
"166980","170740"," There is a pie showing up there. "
"171580","172800"," I know triangles."
"173100","175620"," They're one half of the rectangles."
"175820","177720"," So that's the kind of things I know. "
"178960","180140"," This is not a square."
"180660","181540"," It's not a circle."
"181740","182720"," It's not a rectangle. "
"183400","184000"," I'm lost."
"185680","187100"," So here's the idea."
"187380","188520"," The idea is the following. "
"189240","191840"," Let's take this interval from A to B"
"191840","194540"," and break it into little intervals."
"195520","198860"," Not necessarily following any pattern."
"199020","201120"," Just any little intervals you want. "
"203790","206470"," So this is the x-axis and I'm"
"206470","209570"," going to call these points I chose, I'm"
"209570","215630"," going to call them x1, x2, x3, x4."
"216150","218990"," Maybe four is enough for now."
"219470","222070"," I chose four random points. "
"222070","228460"," On these points, I'm going to draw lines"
"228460","230840"," going up till they hit the graph."
"240110","240270"," Good."
"241430","243670"," Now, using a different color. "
"245710","248110"," So what I just did formally, I'm going"
"248110","250210"," to write everything in a minute with all"
"250210","251430"," the formal definitions."
"251890","253250"," This is called a partition."
"253810","256750"," A partition of the interval A, B into"
"256750","257970"," little parts. "
"258250","259450"," That's why it's called a partition."
"260070","263310"," Now I'm going to choose points in each"
"263310","267290"," of these little new partial intervals."
"267670","269850"," So I'm going to choose a point here. "
"271230","272530"," And I'm going to choose a point here."
"272670","274870"," Not necessarily at the center of the interval."
"275010","275810"," Maybe here. "
"277310","278350"," Maybe here."
"279390","282590"," I can choose the endpoint in here."
